,instance,runtime,initial-temperature,final-temperature,cooling-rate,init-size,best-size,init-cost,best-cost,optimal-cost,hit,relative-error
0,42,137.24156853000022,1.0,0.01,0.954992586021436,1000,1000,582,536.0,512,False,0.046875
1,43,13.963188184998216,1.0,0.01,0.954992586021436,1000,1000,598,537.0,516,False,0.040697674418604654
2,44,345.04838114799895,1.0,0.01,0.954992586021436,1000,1000,548,512.0,494,False,0.03643724696356275
3,45,23.447476690002077,1.0,0.01,0.954992586021436,1000,1000,577,519.0,512,False,0.013671875
4,46,9.474802912998712,1.0,0.01,0.954992586021436,1000,1000,615,586.25,560,False,0.046875
5,47,28.66351383899746,1.0,0.01,0.954992586021436,1000,1000,476,442.0,430,False,0.027906976744186046
6,48,12.308044052002515,1.0,0.01,0.954992586021436,1000,1000,533,524.0,492,False,0.06504065040650407
7,49,15.316688846000034,1.0,0.01,0.954992586021436,1000,1000,747,665.0,641,False,0.0374414976599064
8,51,273.28769337599806,1.0,0.01,0.954992586021436,2000,2000,289,269.0,253,False,0.06324110671936758
9,52,22.7558428730008,1.0,0.01,0.954992586021436,2000,2000,348,328.0,302,False,0.08609271523178808
10,53,748.1874620810013,1.0,0.01,0.954992586021436,2000,2000,246,232.0,226,False,0.02654867256637168
11,54,18.482020865001687,1.0,0.01,0.954992586021436,2000,2000,265,250.0,242,False,0.03305785123966942
12,55,16.857755843000632,1.0,0.01,0.954992586021436,2000,2000,236,212.0,211,False,0.004739336492890996
13,56,9.820933717001026,1.0,0.01,0.954992586021436,2000,2000,251,223.0,213,False,0.046948356807511735
14,57,19.55983558099979,1.0,0.01,0.954992586021436,2000,2000,326,301.0,293,False,0.027303754266211604
15,58,19.98548426799971,1.0,0.01,0.954992586021436,2000,2000,323,311.0,288,False,0.0798611111111111
16,59,40.707302025999525,1.0,0.01,0.954992586021436,2000,2000,312,292.0,279,False,0.04659498207885305
17,61,126.11409554599959,1.0,0.01,0.954992586021436,1000,1000,159,143.0,138,False,0.036231884057971016
18,62,6.040735424001468,1.0,0.01,0.954992586021436,1000,1000,170,156.0,146,False,0.0684931506849315
19,63,7.179722214001231,1.0,0.01,0.954992586021436,1000,1000,161,157.0,145,False,0.08275862068965517
20,64,4.562494970999978,1.0,0.01,0.954992586021436,1000,1000,149,141.0,131,False,0.07633587786259542
21,65,8.607792130002053,1.0,0.01,0.954992586021436,1000,1000,196,184.25,161,False,0.14440993788819875
22,a1,431.57647203300075,1.0,0.01,0.954992586021436,3000,3000,288,261.0,253,False,0.03162055335968379
23,a2,19.938532828997268,1.0,0.01,0.954992586021436,3000,3000,284,269.0,252,False,0.06746031746031746
24,a3,19.560896637998667,1.0,0.01,0.954992586021436,3000,3000,270,244.25,232,False,0.052801724137931036
25,a4,1068.3788198900002,1.0,0.01,0.954992586021436,3000,3000,278,243.0,234,False,0.038461538461538464
26,a5,1133.7452888069965,1.0,0.01,0.954992586021436,3000,3000,271,245.0,236,False,0.038135593220338986
27,b1,51.75693470199985,1.0,0.01,0.954992586021436,3000,3000,77,72.0,69,False,0.043478260869565216
28,b2,10.047653169000114,1.0,0.01,0.954992586021436,3000,3000,86,78.0,76,False,0.02631578947368421
29,b3,57.61357491799936,1.0,0.01,0.954992586021436,3000,3000,89,82.0,80,False,0.025
30,b4,956.8110240550013,1.0,0.01,0.954992586021436,3000,3000,89,83.0,79,False,0.05063291139240506
31,b5,9.238700481000706,1.0,0.01,0.954992586021436,3000,3000,78,73.0,72,False,0.013888888888888888
32,c1,869.8361506660003,1.0,0.01,0.954992586021436,4000,4000,258,235.0,227,False,0.03524229074889868
33,c2,24.32286534100058,1.0,0.01,0.954992586021436,4000,4000,258,224.0,219,False,0.0228310502283105
34,c3,52.83290744599799,1.0,0.01,0.954992586021436,4000,4000,276,257.0,243,False,0.05761316872427984
35,c4,1122.894281625002,1.0,0.01,0.954992586021436,4000,4000,257,235.0,219,False,0.0730593607305936
36,c5,27.497582403000706,1.0,0.01,0.954992586021436,4000,4000,233,220.0,215,False,0.023255813953488372
37,d1,516.7148958299986,1.0,0.01,0.954992586021436,4000,4000,74,67.0,60,False,0.11666666666666667
38,d2,17.471316469000158,1.0,0.01,0.954992586021436,4000,4000,74,69.0,66,False,0.045454545454545456
39,d3,3.047511021999526,1.0,0.01,0.954992586021436,4000,4000,83,80.0,72,False,0.1111111111111111
40,d4,13.927110343000095,1.0,0.01,0.954992586021436,4000,4000,71,68.0,62,False,0.0967741935483871
41,d5,578.6462758400012,1.0,0.01,0.954992586021436,4000,4000,69,65.0,61,False,0.06557377049180328
