,instance,greedy-cost,greedy-cost-re,better-greedy-cost,better-greedy-cost-re
0,42,1308.0,1308.0,582.0,543.0
1,43,1722.0,1722.0,598.0,582.0
2,44,1552.0,1552.0,548.0,520.0
3,45,1327.0,1327.0,577.0,550.0
4,46,1509.0,1509.0,615.0,609.0
5,47,1607.0,1607.0,476.0,464.0
6,48,1643.0,1643.0,533.0,531.0
7,49,1725.0,1725.0,747.0,709.0
8,51,1034.0,1034.0,289.0,282.0
9,52,1127.0,1127.0,348.0,340.0
10,53,1288.0,1288.0,246.0,236.0
11,54,1263.0,1263.0,265.0,261.0
12,55,1421.0,1421.0,236.0,230.0
13,56,1216.0,1216.0,251.0,241.0
14,57,1199.0,1199.0,326.0,320.0
15,58,1227.0,1227.0,323.0,314.0
16,59,1445.0,1445.0,312.0,305.0
17,61,891.0,891.0,159.0,150.0
18,62,813.0,813.0,170.0,160.0
19,63,778.0,778.0,161.0,159.0
20,64,812.0,812.0,149.0,146.0
21,65,815.0,815.0,196.0,191.0
22,a1,1444.0,1444.0,288.0,273.0
23,a2,1581.0,1581.0,284.0,276.0
24,a3,1433.0,1433.0,270.0,259.0
25,a4,1581.0,1581.0,278.0,270.0
26,a5,1485.0,1485.0,271.0,258.0
27,b1,694.0,694.0,77.0,75.0
28,b2,743.0,743.0,86.0,81.0
29,b3,571.0,571.0,89.0,84.0
30,b4,821.0,821.0,89.0,86.0
31,b5,775.0,775.0,78.0,77.0
32,c1,1633.0,1633.0,258.0,242.0
33,c2,1843.0,1843.0,258.0,248.0
34,c3,1635.0,1635.0,276.0,268.0
35,c4,2000.0,2000.0,257.0,246.0
36,c5,1807.0,1807.0,233.0,224.0
37,d1,1268.0,1268.0,74.0,71.0
38,d2,1036.0,1036.0,74.0,73.0
39,d3,915.0,915.0,83.0,83.0
40,d4,1105.0,1105.0,71.0,68.0
41,d5,1078.0,1078.0,69.0,67.0
